id,description,name,type
1832,Num. occurrences of 'toronto',toronto,numeric
1833,Num. occurrences of 'total',total,numeric
1834,Num. occurrences of 'tour',tour,numeric
1835,Num. occurrences of 'toward',toward,numeric
1836,Num. occurrences of 'town',town,numeric
1837,Num. occurrences of 'track',track,numeric
1838,Num. occurrences of 'trade',trade,numeric
1839,Num. occurrences of 'tradit',tradit,numeric
1840,Num. occurrences of 'train',train,numeric
1841,Num. occurrences of 'transcript',transcript,numeric
1842,Num. occurrences of 'transfer',transfer,numeric
1843,Num. occurrences of 'transit',transit,numeric
1844,Num. occurrences of 'translat',translat,numeric
1845,Num. occurrences of 'travel',travel,numeric
1846,Num. occurrences of 'treat',treat,numeric
1847,Num. occurrences of 'treatment',treatment,numeric
1848,Num. occurrences of 'tree',tree,numeric
1849,Num. occurrences of 'trend',trend,numeric
1850,Num. occurrences of 'tri',tri,numeric
1851,Num. occurrences of 'true',true,numeric
1852,Num. occurrences of 'truli',truli,numeric
1853,Num. occurrences of 'tuebingen',tuebingen,numeric
1854,Num. occurrences of 'tuesday',tuesday,numeric
1855,Num. occurrences of 'turkish',turkish,numeric
1856,Num. occurrences of 'turn',turn,numeric
1857,Num. occurrences of 'tutori',tutori,numeric
1858,Num. occurrences of 'tv',tv,numeric
1859,Num. occurrences of 'twent',twent,numeric
1860,Num. occurrences of 'twenti',twenti,numeric
1861,Num. occurrences of 'two',two,numeric
1862,Num. occurrences of 'type',type,numeric
1863,Num. occurrences of 'typic',typic,numeric
1864,Num. occurrences of 'typolog',typolog,numeric
1865,Num. occurrences of 'ucla',ucla,numeric
1866,Num. occurrences of 'uk',uk,numeric
1867,Num. occurrences of 'ultim',ultim,numeric
1868,Num. occurrences of 'un',un,numeric
1869,Num. occurrences of 'und',und,numeric
1870,Num. occurrences of 'undergradu',undergradu,numeric
1871,Num. occurrences of 'underli',underli,numeric
1872,Num. occurrences of 'understand',understand,numeric
1873,Num. occurrences of 'une',une,numeric
1874,Num. occurrences of 'uniqu',uniqu,numeric
1875,Num. occurrences of 'unit',unit,numeric
1876,Num. occurrences of 'univ',univ,numeric
1877,Num. occurrences of 'univers',univers,numeric
1878,Num. occurrences of 'universidad',universidad,numeric
1879,Num. occurrences of 'universit',universit,numeric
1880,Num. occurrences of 'universitaet',universitaet,numeric
1881,Num. occurrences of 'universitat',universitat,numeric
1882,Num. occurrences of 'unless',unless,numeric
1883,Num. occurrences of 'unlik',unlik,numeric
1884,Num. occurrences of 'unlimit',unlimit,numeric
1885,Num. occurrences of 'unpublish',unpublish,numeric
1886,Num. occurrences of 'updat',updat,numeric
1887,Num. occurrences of 'upenn',upenn,numeric
1888,Num. occurrences of 'upon',upon,numeric
1889,Num. occurrences of 'urbana',urbana,numeric
1890,Num. occurrences of 'url',url,numeric
1891,Num. occurrences of 'us',us,numeric
1892,Num. occurrences of 'usa',usa,numeric
1893,Num. occurrences of 'usag',usag,numeric
1894,Num. occurrences of 'usc',usc,numeric
1895,Num. occurrences of 'usd',usd,numeric
1896,Num. occurrences of 'use',use,numeric
1897,Num. occurrences of 'user',user,numeric
1898,Num. occurrences of 'usual',usual,numeric
1899,Num. occurrences of 'util',util,numeric
1900,Num. occurrences of 'utrecht',utrecht,numeric
1901,Num. occurrences of 'utter',utter,numeric
1902,Num. occurrences of 'valid',valid,numeric
1903,Num. occurrences of 'valu',valu,numeric
1904,Num. occurrences of 'valuabl',valuabl,numeric
1905,Num. occurrences of 'van',van,numeric
1906,Num. occurrences of 'vari',vari,numeric
1907,Num. occurrences of 'variabl',variabl,numeric
1908,Num. occurrences of 'variat',variat,numeric
1909,Num. occurrences of 'varieti',varieti,numeric
1910,Num. occurrences of 'variou',variou,numeric
1911,Num. occurrences of 've',ve,numeric
1912,Num. occurrences of 'venu',venu,numeric
1913,Num. occurrences of 'verb',verb,numeric
1914,Num. occurrences of 'verbal',verbal,numeric
1915,Num. occurrences of 'veri',veri,numeric
1916,Num. occurrences of 'version',version,numeric
1917,Num. occurrences of 'vi',vi,numeric
1918,Num. occurrences of 'via',via,numeric
1919,Num. occurrences of 'video',video,numeric
1920,Num. occurrences of 'view',view,numeric
1921,Num. occurrences of 'vii',vii,numeric
1922,Num. occurrences of 'violat',violat,numeric
1923,Num. occurrences of 'virtual',virtual,numeric
1924,Num. occurrences of 'visa',visa,numeric
1925,Num. occurrences of 'vision',vision,numeric
1926,Num. occurrences of 'visit',visit,numeric
1927,Num. occurrences of 'visual',visual,numeric
1928,Num. occurrences of 'vo',vo,numeric
1929,Num. occurrences of 'vocabulari',vocabulari,numeric
1930,Num. occurrences of 'voic',voic,numeric
1931,Num. occurrences of 'vol',vol,numeric
1932,Num. occurrences of 'volum',volum,numeric
1933,Num. occurrences of 'von',von,numeric
1934,Num. occurrences of 'vowel',vowel,numeric
1935,Num. occurrences of 'vp',vp,numeric
1936,Num. occurrences of 'vs',vs,numeric
1937,Num. occurrences of 'wa',wa,numeric
1938,Num. occurrences of 'wait',wait,numeric
1939,Num. occurrences of 'wale',wale,numeric
1940,Num. occurrences of 'walk',walk,numeric
1941,Num. occurrences of 'walter',walter,numeric
1942,Num. occurrences of 'want',want,numeric
1943,Num. occurrences of 'war',war,numeric
1944,Num. occurrences of 'washington',washington,numeric
1945,Num. occurrences of 'watch',watch,numeric
1946,Num. occurrences of 'way',way,numeric
1947,Num. occurrences of 'weak',weak,numeric
1948,Num. occurrences of 'web',web,numeric
1949,Num. occurrences of 'websit',websit,numeric
1950,Num. occurrences of 'wednesday',wednesday,numeric
1951,Num. occurrences of 'week',week,numeric
1952,Num. occurrences of 'weight',weight,numeric
1953,Num. occurrences of 'welcom',welcom,numeric
1954,Num. occurrences of 'well',well,numeric
1955,Num. occurrences of 'west',west,numeric
1956,Num. occurrences of 'western',western,numeric
1957,Num. occurrences of 'wh',wh,numeric
1958,Num. occurrences of 'whatev',whatev,numeric
1959,Num. occurrences of 'wherea',wherea,numeric
1960,Num. occurrences of 'whether',whether,numeric
1961,Num. occurrences of 'whi',whi,numeric
1962,Num. occurrences of 'white',white,numeric
1963,Num. occurrences of 'whole',whole,numeric
1964,Num. occurrences of 'whorf',whorf,numeric
1965,Num. occurrences of 'whose',whose,numeric
1966,Num. occurrences of 'wide',wide,numeric
1967,Num. occurrences of 'wife',wife,numeric
1968,Num. occurrences of 'william',william,numeric
1969,Num. occurrences of 'win',win,numeric
1970,Num. occurrences of 'window',window,numeric
1971,Num. occurrences of 'wish',wish,numeric
1972,Num. occurrences of 'within',within,numeric
1973,Num. occurrences of 'without',without,numeric
1974,Num. occurrences of 'wolfgang',wolfgang,numeric
1975,Num. occurrences of 'women',women,numeric
1976,Num. occurrences of 'wonder',wonder,numeric
1977,Num. occurrences of 'wont',wont,numeric
1978,Num. occurrences of 'word',word,numeric
1979,Num. occurrences of 'work',work,numeric
1980,Num. occurrences of 'workshop',workshop,numeric
1981,Num. occurrences of 'world',world,numeric
1982,Num. occurrences of 'worldwid',worldwid,numeric
1983,Num. occurrences of 'worth',worth,numeric
1984,Num. occurrences of 'would',would,numeric
1985,Num. occurrences of 'write',write,numeric
1986,Num. occurrences of 'writer',writer,numeric
1987,Num. occurrences of 'written',written,numeric
1988,Num. occurrences of 'wrong',wrong,numeric
1989,Num. occurrences of 'wrote',wrote,numeric
1990,Num. occurrences of 'www',www,numeric
1991,Num. occurrences of 'xerox',xerox,numeric
1992,Num. occurrences of 'yale',yale,numeric
1993,Num. occurrences of 'ye',ye,numeric
1994,Num. occurrences of 'year',year,numeric
1995,Num. occurrences of 'yet',yet,numeric
1996,Num. occurrences of 'york',york,numeric
1997,Num. occurrences of 'young',young,numeric
1998,Num. occurrences of 'zip',zip,numeric
1999,Num. occurrences of 'zur',zur,numeric
